직함,나이,학력,코딩 경력(년),ML 경력(년),Python,R,SQL,C,C#,C++,Java,Javascript,Bash,PHP,MATLAB,Julia,Go,Scikit-learn,TensorFlow,Keras,PyTorch,Fast.ai,Xgboost,LightGBM,CatBoost,Caret,Tidymodels,JAX,PyTorch Lightning,Huggingface,Linear/Logistic Regression,Decision Trees/Random Forests,"Gradient Boosting (XGB, LGBM)",Bayesian Approaches,Evolutionary Approaches,Dense Neural Networks (MLP),CNN,GAN,RNN,"Transformer (BERT, GPT)","Autoencoder (DAE, VAE)",Graph Neural Networks,연봉 (USD)
Data Scientist,35-39,Doctoral degree,5-10 years,4-5 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"80,000-89,999"
Machine Learning/ MLops Engineer,35-39,Master’s degree,10-20 years,10-20 years,,R,SQL,,,C++,,,Bash,,,Julia,,,  TensorFlow ,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,Convolutional Neural Networks,,,,,,"60,000-69,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,I prefer not to answer,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"15,000-19,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,I prefer not to answer,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"4,000-4,999"
Data Scientist,35-39,Master’s degree,10-20 years,5-10 years,Python,R,SQL,,,,,,,,,Julia,,  Scikit-learn ,,, PyTorch ,, Xgboost , LightGBM ,,,,, PyTorch Lightning , Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"150,000-199,999"
Machine Learning/ MLops Engineer,30-34,Bachelor’s degree,10-20 years,3-4 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,"100,000-124,999"
Data Scientist,30-34,Master’s degree,10-20 years,3-4 years,Python,,SQL,,,,,,,,,Julia,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"100,000-124,999"
Data Engineer,25-29,No formal education past high school,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
Data Scientist,25-29,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,40-44,Bachelor’s degree,10-20 years,5-10 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,"150,000-199,999"
Data Scientist,60-69,Master’s degree,10-20 years,Under 1 year,Python,R,,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"60,000-69,999"
Data Scientist,25-29,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
Data Scientist,40-44,Professional doctorate,10-20 years,4-5 years,Python,,,,,,Java,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,, LightGBM ,,,,,,,,,,,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",45-49,Master’s degree,10-20 years,2-3 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,, Keras , PyTorch ,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"5,000-7,499"
Data Scientist,40-44,Master’s degree,10-20 years,5-10 years,,R,,,,,,,,,,,,,,,,,,,, Caret , Tidymodels ,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"50,000-59,999"
Data Scientist,30-34,Master’s degree,5-10 years,4-5 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,, LightGBM , CatBoost ,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,"Autoencoder Networks (DAE, VAE, etc)",,"100,000-124,999"
Data Scientist,40-44,Bachelor’s degree,5-10 years,5-10 years,Python,,SQL,,C#,,,Javascript,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"7,500-9,999"
Data Scientist,40-44,Professional doctorate,5-10 years,3-4 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"100,000-124,999"
Machine Learning/ MLops Engineer,30-34,Master’s degree,5-10 years,4-5 years,Python,,SQL,,,,Java,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,, Huggingface ,,,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"80,000-89,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Bachelor’s degree,1-3 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
Data Scientist,45-49,Master’s degree,10-20 years,5-10 years,Python,R,SQL,,,,,Javascript,Bash,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"150,000-199,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500-9,999"
Data Scientist,35-39,Bachelor’s degree,3-5 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"20,000-24,999"
Data Scientist,30-34,Master’s degree,5-10 years,5-10 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"80,000-89,999"
Data Scientist,40-44,Professional doctorate,10-20 years,Under 1 year,Python,,SQL,C,,C++,Java,,,,,,,,  TensorFlow , Keras , PyTorch ,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"10,000-14,999"
Data Engineer,50-54,No formal education past high school,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,000-79,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Some college/university study without earning a bachelor’s degree,< 1 years,Under 1 year,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,25-29,Bachelor’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,Javascript,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",50-54,Bachelor’s degree,3-5 years,Under 1 year,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Data Engineer,35-39,Bachelor’s degree,5-10 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,, LightGBM ,,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,"90,000-99,999"
Data Scientist,35-39,Doctoral degree,10-20 years,10-20 years,Python,R,,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"60,000-69,999"
Data Scientist,35-39,Master’s degree,1-3 years,I do not use machine learning methods,Python,,SQL,,,,,,Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000-14,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,30-34,Master’s degree,3-5 years,Under 1 year,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"70,000-79,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",60-69,Master’s degree,10-20 years,5-10 years,Python,R,,C,,C++,,,,,,,,  Scikit-learn ,,,,,, LightGBM ,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,,,,,,,"50,000-59,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,5-10 years,4-5 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,,, LightGBM ,,,,,, Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"25,000-29,999"
Data Scientist,30-34,I prefer not to answer,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,50-54,Doctoral degree,5-10 years,5-10 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost , LightGBM ,, Caret , Tidymodels ,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"150,000-199,999"
Data Engineer,22-24,Bachelor’s degree,1-3 years,Under 1 year,Python,,,C,,,,,,,,,,,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,Bayesian Approaches,,,,Generative Adversarial Networks,,,,,
Data Scientist,35-39,Doctoral degree,10-20 years,5-10 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"125,000-149,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,< 1 years,I do not use machine learning methods,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
Data Scientist,40-44,Master’s degree,10-20 years,I do not use machine learning methods,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000-124,999"
Data Scientist,22-24,Master’s degree,3-5 years,1-2 years,Python,,SQL,,,,Java,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,, JAX , PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"1,000-1,999"
Data Scientist,30-34,Doctoral degree,3-5 years,1-2 years,Python,,,C,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,
Data Scientist,35-39,Doctoral degree,5-10 years,4-5 years,Python,R,SQL,,,,Java,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai , Xgboost ,, CatBoost , Caret , Tidymodels ,, PyTorch Lightning , Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,Convolutional Neural Networks,,Recurrent Neural Networks,,,Graph Neural Networks,"25,000-29,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Doctoral degree,< 1 years,Under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,25-29,Master’s degree,5-10 years,3-4 years,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Data Scientist,25-29,Master’s degree,5-10 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"125,000-149,999"
Data Scientist,25-29,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"1,000-1,999"
Machine Learning/ MLops Engineer,35-39,Bachelor’s degree,10-20 years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"80,000-89,999"
Data Scientist,40-44,Master’s degree,< 1 years,Under 1 year,Python,,SQL,,,,,,,,MATLAB,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,5-10 years,I do not use machine learning methods,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000-39,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",45-49,Master’s degree,5-10 years,3-4 years,Python,,SQL,,,,,Javascript,,PHP,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"2,000-2,999"
Machine Learning/ MLops Engineer,25-29,Bachelor’s degree,3-5 years,2-3 years,Python,,,,,,,,,,,Julia,,,  TensorFlow , Keras , PyTorch ,,,,,,,,, Huggingface ,,,,,Evolutionary Approaches,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"1,000-1,999"
Machine Learning/ MLops Engineer,30-34,Bachelor’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,
Data Scientist,25-29,Bachelor’s degree,3-5 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"25,000-29,999"
Machine Learning/ MLops Engineer,35-39,Master’s degree,10-20 years,5-10 years,Python,R,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,, Huggingface ,,,,Bayesian Approaches,,,Convolutional Neural Networks,,,,"Autoencoder Networks (DAE, VAE, etc)",,"70,000-79,999"
Data Engineer,25-29,Bachelor’s degree,5-10 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"3,000-3,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,< 1 years,I do not use machine learning methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
Data Scientist,22-24,Bachelor’s degree,< 1 years,Under 1 year,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"5,000-7,499"
Data Scientist,30-34,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,, CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"60,000-69,999"
Data Scientist,35-39,Master’s degree,5-10 years,3-4 years,Python,,SQL,,,C++,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Data Scientist,35-39,Master’s degree,3-5 years,3-4 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"125,000-149,999"
Data Engineer,25-29,No formal education past high school,1-3 years,Under 1 year,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"7,500-9,999"
Data Scientist,35-39,Doctoral degree,20+ years,5-10 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"200,000-249,999"
Data Scientist,30-34,Master’s degree,3-5 years,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"2,000-2,999"
Data Scientist,30-34,Master’s degree,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",45-49,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,25-29,Bachelor’s degree,3-5 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000-249,999"
Data Scientist,18-21,Bachelor’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Machine Learning/ MLops Engineer,22-24,No formal education past high school,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
Data Scientist,25-29,Master’s degree,3-5 years,2-3 years,Python,,,,C#,,,Javascript,Bash,,,,,,  TensorFlow , Keras , PyTorch ,,,,,,,, PyTorch Lightning ,,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"5,000-7,499"
